name,cuisine,cost,img_link,rating,n_ratings,address
Entre-Nous creperie,"French, European",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/26/af/3e/00/roasted-chicken-wholegrain.jpg,5.0,"1,659","27 Seah Street # 01-01, Singapore 188383 Singapore"
The Mind Cafe,Cafe,$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/18/97/fb/66/sofa-section.jpg,5.0,531,"60A Prinsep Street, Singapore 188664 Singapore"
The White Label,"French, Fusion",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-f/1c/92/af/51/ondeh-ondeh-gateau.jpg,5.0,171,"734 North Bridge Road, Singapore 198702 Singapore"
The Courtyard,"Japanese, Indian",$$$$,https://media-cdn.tripadvisor.com/media/photo-s/0e/ce/74/7a/the-north-courtyard.jpg,4.5,"1,497","1 Fullerton Square Fullerton Hotel The Fullerton Hotel, Singapore 049178 Singapore"
Positano Risto,"Italian, Pizza",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/19/07/ea/a3/signature-whole-boston.jpg,5.0,"1,978","66 Bussorah Street, Singapore 199479 Singapore"
Waterfall Ristorante Italiano,"Italian, Mediterranean",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/13/a6/20/0f/interior.jpg,4.5,"1,413","22 Orange Grove Road Shangri-La Hotel Garden Wing, Shangri-La Hotel, Singapore 258350 Singapore"
Rosso Vino,"Italian, Pizza",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-p/21/fa/21/ba/pizza-ai-frutti-di-mare.jpg,4.5,"2,290","15 Merbau Road Next Robertson Quay Hotel, Singapore 239032 Singapore"
NOX - Dine In The Dark,"European, Fusion",$$$$,https://media-cdn.tripadvisor.com/media/photo-s/14/45/4c/13/sample-dish-from-nox.jpg,4.5,"2,228","83 Club Street, Singapore 069451 Singapore"
Loulou - French Cuisine & Wine Bar,"French, Mediterranean",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/24/90/18/da/outdoor.jpg,5.0,155,"6 Keong Saik Road, Singapore 089114 Singapore"
Paulaner Brauhaus Singapore,"German, Bar",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-f/17/23/3f/d4/pork-knuckle-with-a-freshly.jpg,4.5,"1,116","9 Raffles Boulevard Millenia Walk #01-01 Millenia Walk, Singapore 039596 Singapore"
Merci Marcel Club Street,"French, European",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-p/18/81/8a/88/merci-marcel-club-street.jpg,5.0,239,"9 Club Street, Singapore 069404 Singapore"
Grand Shanghai Restaurant,"Chinese, Asian",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/19/9f/fe/46/grand-shanghai-main-dining.jpg,5.0,650,"390 Havelock Road King's Centre, Singapore 169662 Singapore"
Colony,"Asian, Singaporean",$$$$,https://media-cdn.tripadvisor.com/media/photo-s/14/74/ad/6d/colony-entrance.jpg,4.5,"2,819","7 Raffles Avenue Ritz Carlton Millenia Singapore The Ritz-Carlton, Millenia, Singapore 039799 Singapore"
Lobby Lounge at Conrad Centennial Singapore,"Wine Bar, Singaporean",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/16/f3/ca/06/lobby-lounge-interior.jpg,4.5,653,"2 Temasek Boulevard Conrad Centennial Singapore, Singapore 038982 Singapore"
Merci Marcel Orchard,"French, Cafe",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/19/a8/54/ba/patio.jpg,5.0,251,"390 Orchard Road Palais Renaissance 01-03 to 04 Palais Renaissance, Singapore 238871 Singapore"
FBG - Fat Belly,Steakhouse,$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/25/a7/60/0b/fat-belly.jpg,5.0,438,"10 Jalan Serene #01-04 Serene Centre Serene Centre, Singapore 258748 Singapore"
Shivam Restaurant,"Indian, Asian",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/15/76/03/97/it-has-been-pouring-lately.jpg,5.0,222,"87 Syed Alwi Road, Singapore 207666 Singapore"
Publico Ristorante,"Italian, Pizza",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/11/69/61/f1/publico-interiror.jpg,5.0,"1,817","1 Nanson Road Intercontinental Singapore Robertson Quay InterContinental Singapore Robertson Quay, Singapore 238909 Singapore"
Fu Lin Men (NSRCC),"Chinese, Seafood",$,https://media-cdn.tripadvisor.com/media/photo-s/1c/58/2e/97/fu-lin-men-nsrcc.jpg,5.0,206,"10 Changi Coast Walk Level 1 National Service Resort & Country Club, Singapore 499739 Singapore"
French Fold Telok Ayer,"French, Cafe",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-p/1c/7c/ac/58/photo2jpg.jpg,5.0,119,"204 Telok Ayer Street, Singapore 068640 Singapore"
25 Degrees,"American, Bar",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/0e/e0/33/87/25-degrees-from-outside.jpg,4.5,591,"200 Middle Road Hotel G Singapore Ground Floor, Hotel G Singapore, Singapore 188980 Singapore"
