topic,review
Good Service!!!,Great services!!! Love the beef. Salmon and mushroom soup abit salty for my taste. Nice ambience for family and friends' gathering. Overall experience A.
Good service but food is just normal,"I went to the restaurant with my son for lunch after reading many positive reviews in Tripadvisor. Ordered mushroom soup, tom yum popcorn chicken, grass fed rib eye, and lamb shank. Waiters were attentive but the food was so so. The rib eye steak was abit chewy and the popcorn chicken was nothing to shout about. Lamb shank was tender but lacking of flavours. We ordered extra sides of sambal Kang Kong and found them too sweet for our liking. Overall, I am giving a 3 star rating in consideration of its service and price."
Dinner,Sham & Diana wz the whole team was very hospitable. They spent time in explaining the menu & give recommendations. I will definitely return & recommend to my friends Food portion was big & yummy.
Surprise discovery,Good food and nice embiance. Have a wonderful family dinner and time. Will go again soon. The Ribeye steak is nice. Generoua serving of nice bread.
Great pool side view and fantastic food!,"Kudos to all the service team (Ayu, Mike, Ravin) and culinary team (Jenrick, Ming). We came as a group of 20 people ordered different types of food. They managed to serve without too long of waiting time and very prompt in taking new food/ drink orders.
The steak is fantastic, great taste and look fabulous."
Dinner,"Had a wonderful dinner at Escape, nice food and ambience. Excellent and attentive service from the staff."
Escape for good food and city view,Ordered ribeye with mushroom sauce. It is as expectation. Herb salad is good too. Enjoying sitting outside alfresco by pool side and Singapore city view.
Steaks are nice,"Steaks are nicely done. Nice ambience, good alfresco dinning experience. Waiters are attentive and helpful. It would be better with some light music"
Escape Restaurant,"Superb service, great ambience, nice food. Ordered ribeye and service staff checked in to ask if the wellness of the steak is good. Dessert so so though"
Celebration & Gathering Dinner at Escape Restaurant,"The service, ambience and food of Escape Restaurants is fantastic!

Especially thumbs up for the service team (Mike & Ravin)lead by Manager Ayu, they are all very attentive to our needs and comfort through our dining experience. We are pampered by them!

Highly recommend for the food & beverage served by the culinary team: Jenrick & Ming. The food is really delicious.

Awesome Team!"
Nice dining environment with good service,"The food are great. Have a happy gathering with 20 friends here. Enjoy the environment and good service from the staff. Special thanks to Ayu, Mike, Ravin,Jenrick, and Ming."
Dinner with team,"Got to give big thanks to Ayu,Mike, Ravin, Jenrick and Ming for the great hospitality that they have given to us. They have made us feel like home and I Will highly recommend anyone who wants a good time to come over for a meal"
Lovely Ambience and a great ESCAPE,"Tucked away in a cozy corner, great place to enjoy food and wine (wings and blue cheese dip is super yummy!) , chill the night away 💕 Thanks for great service too!"
"Poor service, did not honour their words","Long story short, we indeed ""Escaped"" from the poor service despite us being the ONLY customers there on a Sat afternoon to nearby Brunches Cafe which was FULL yet were able to, at the last minute, deliver personalised warm and friendly service, great food in a very cosy environment at a much lower price. I guess that's why one was empty and the other was full."
Excellent Service and food,"Went on a rainy Friday for lunch. Service was excellent and the staff paid attention to every detail, from food to getting a colouring kit to entertain my 4 year old daughter.
Bread with dips was lovely.
The pan fried salmon was excellent (loved it !) and the sides were done well too.

Had a lovely experience there!"
Eat their steaks,Flavorful steak. Wonderful service. Very very sedap. Will be back again to sample more from the menu. Service staffs are great too. A shoutout to Syamala.
Lunch,"We stayed in one Farrer hotel and got opportunities to have lunch in Escape restaurant in the same hotel. First of all the ambiance of the restaurant was excellent and hospitality was great especially by Shyamala, we wanted to cut the cake for my daughter birthday and having vegetarian food. Even though it was limited vegetarian options, we were completely full as Shyamala arrranged those perfectly. It was great piece of hospitality and very tasty food all across we came like soup, spaghetti.
Thanks to Escape for good food."
Outstanding Hospitality,"Stayed at One Farrer for a week and the highlight was easily my dining experience at the Escape restaurant.
We celebrated one of our birthday dinners there, and it was nothing short of a magical experience. The team went above and beyond to make sure to exceed our expectations.
Breakfast was simply delightful and we ended up overstaying almost every day, thanks to the stellar hospitality.
Thank you so much Ayu and Shyam for making sure we had the best week ever! You went above and beyond to take care of my family and me!
❤️❤️❤️"
Dinner review,Nice and quiet place to have dinner at. Food and music is good Service is also good and service staff syam came to check in on us regularly.
Excellent place!!,"Great ambience, great food, great music, excellent service crew!! Definitely got to give this place a visit!!"
Excellent service delicious food,Quiet hidden gem. Scenic pool view. Perfect place to catch the sunset. Excellent service by Saymala and team. Delicious food.
Excellent Service and Delicious Food!,The food was on point and on time despite running on a full occupancy... The service rendered by Ayu and her team was impeccable! Keep up and keep going!
Fulfilling lunch with great ambience and lovely view,Ordered western bento sets with brownies as dessert. portion could be better but its quite fulfiling overall.
great food & service,The food was good and the service was great. All the staff working were very attentive to our needs and attended to us promptly. thankyou!
Breakfast at Escape Restaurant Ine Farrer,"This is a very good breakfast place. Ask for the hot breakfast items, like eggs and other Indian options including the Bento box. You can reserve Bento Box ahead of time. Folks are very friendly especially Symala is excellent in her service."
