topic,review
Breakfast for a family of 4,"Food absolutely amazing! The place is beautiful and staff are super friendly. We are definitely going back. Special thanks to Mr Saravanan for the excellent service and hospitality. He’s such an efficient, friendly, happy and polite staff! 😊"
Afternoon Tea Treat for the Mrs’s Birthday,Good selection of sweet and savoury. Manish was great and attentive. He carefully explain the menu and certain items were changed before we even arrived. Only 1 comment - please have oat milk available as an option.
Afternoon Tea: Thank You So Much Chef Wendy & Janus!,Magnificent Afternoon Tea experience! Very grateful to the exceptionally excellent service provided by Chef Wendy and Janus. We miss Manish alot ❤️
Beautiful breakfast,excellent food and service. The servers were extremely helpful and everything was brought out fresh and quickly.
Best Breakfast Experience,"I feel like a VVIP the moment I stepped into this place . Every staff is so attentive, friendly and welcoming!

The food portion is huge, spread is good with lots of varieties. Everything is good with the exception of laksa which didn’t taste like the local laksa.

Special thanks to Saravanan, he’s a GEM of this place."
Indian Sous Chef - Kamal Hossen,"Excellent service, friendly, helpful, and warm. Very nice place and everyone is very helpful, great place to be."
Excellent service and ambience,Came here for my birthday dinner on 18 Jan and the service was top notch. Hucksen and Kartie both offered to take photos for us and it was very well done. Food and wine are good and very value for money with the Amex promotion. Highly recommend!
"Great food, ambience and service","The food was very delicious, I especially enjoyed the lobster bisque and the steak. The service staff Manesh was also very hospitable. Overall a very enjoyable meal here."
Very Noisy Ambience,We reserved a table of 6pp for dinner with friends at 8pm. There was a karaoke session above us that was very noisy & we could barely hear each other without speaking loudly. Timeliness of food was bad. Taste was just average. Very low value & all of us were very disappointed with the whole experience.
"Good to come for lunch - quiet, classic, delightful.","Came for lunch. I had French onion soup, pork loin and crème brûlée while my friend had a lamb rack. All items were perfect, including the complimentary home made bread. Now, it’s not that common for everything to be perfect so this is really good. The soup was rich in onions and texture; the pork loin was splendidly matched with an apple sauce; the crème brûlée was surprisingly a generous portion and its crispy caramelized sugar was heavenly (note: i have a sweet tooth). My friend loved her lamb too.

Ambience was classic and service was attentive. Quite quiet for lunch on a weekday so I guess we made the right choice of day to come.

Prices reasonable for a place like this."
Great breakfast and service!,Suman was such a great host and he toook care of us while there at the restaurant and checked in on us! Amazing rooms and beautiful interior
High tea,"Celebrated my 3 years old daughter birthday and indeed an excellent choice. A surprise cake and bear for the little one which shine her day.

Love the pastry and especially, the soup with soft boiled egg.

Special mention to the crew - Manish, Kartie and Bessie whom provide excellent services!

Strongly recommend and will definitely revisit"
Excellence in Service and Fine Dining,Absolutely enjoyed every moment of my meal against the beautiful windowed backdrop and sweeping tall ceilings. I can't love their Lobster Bisque more!!! And Joevan was the most fabulous server.
Excellent dinner and staff,"Came here on the 28th for an excellent dinner the staff was really helpful

Excellent food and ambience! Special thanks to Juvan for making this dining experience so enjoyable!"
High tea,High tea spread was abundant & delicious. Service was excellent! Special biggest thanks to Gary Choo!
HIGH TEA ON A WEEKEND,Thanks Gary for recommending us to this high tea & Manish was assigned to our table. Thanks for the great service! Ambience was perfect and high tea was delicious :) Would recommend everyone if you have a sweet tooth palette !
Awesome High Tea & Great Service!,"Service was great and staff were very attentive to our order and even gave us a complimentary gin and tonic drink. The high tea set, with a mix of sweet and savory food items, were decent and worth a try! Definitely gonna hit a second visit soon!"
Wedding anniversary and gathering,"It was a pleasant experience from booking reservation to last minute amendments. Juvan, who attended and was assigned to our table was very attentive. Also knowledgeable on the menus . He will even recommend when asked which one is the best. Thank you , Juvan. Also, would like to thanks Les Saveurs for the cake for our friends wedding anniversary. They were both surprised. Will definitely be back again and will try high tea next time ."
Great Dinner,It was a nice place for friends gathering. Juvan who is in charge in our table is very approachable and helping us to choose our menu. He is also very attentive also in our needs.
Service and Food,"Service is very excellent especially being serve by Kartie, juvan and Hexen.
Hot side was great,however the pastry hazelnut choux wasn't good, its soggy and there should be more improvement on it"
Dinner at St Regis,Amazing food and service by Juvan! Definitely would come here again. Very genuine and excellent service.
Anniversary Meal.,"It was a Splendid Experience. Juvan our server, he was Impressive and Attentive to details. He was always checkin in on us ensuring we had enough water, and to ensure we were ready for next course meal, he also repeated our orders to ensure everything was well detailed including the cranberry sauce I wanted for my Main Course Turkey dish, sadly the kitchen ran out but it still tasted very delish. My husband ordered lamb rack, he wrote down exact details on how my husband would want the lamb to be done, juicy, soft and tender. Such Impeccable service. He deserves to be promoted as he was also very prompt whenever we called out to him. He made our Anniversary a Special one today. Thanks Juvan."
Sunday Afternoon Tea Festive Menu,"Manish was excellent! He was very friendly and approachable. As we have 3 young kids, Manish entertained them and gave in to their requests by giving free juices for the little ones and chocolate treats at the end of our afternoon tea. Thank you, Manish and team!
We had a great Sunday afternoon tea time at Brasserie Les Saveurs.
We requested for a birthday cake and they prepared one too!"
Great afternoon tea time~,"Great service from Jessa & team! Love the ambience, overall food was quite nice~
Had a fun time there, highly recommend for family & friends"
Afternoon festive tea at St Regis,"The afternoon tea was superb and very filling. We received a complimentary wedding anniversary cake too. Ambience was par excellence.
Kudos to our server Juvan. Very friendly and hospitable chap.

Will definitely come here again.

Conrad & Marina"
Amazing experience and super attentive staff,Thank you Manish for being super attentive and giving us a cake for our wedding anniversary. You've made the dinner extremely special for us. Thank you so much!
Superb service at Les saveurs,Big shout out to Juvan from Les Saveurs is wonderful and attentive. St Regis is lucky to have an employee like him!
Wedding Anniversary Celebration,Was here today with my husband for their high tea session to celebrate our wedding anniversary. We were pleasantly served by Juvan and received splendid service from him. He came by our table to check on us a few times to ensure that everything was okay and I enjoyed the tea he recommended. Thanks Juvan for making our experience a great one! Will definitely return for more. They are currently serving the festive high tea menu which we truly enjoy as well.
"Average food, excellent service.","Food was underwhelming. Great ambience. Amazing service by staff. Shoutout to Juvan who is attentive, engaging and helpful."
Good and attentive service,A big shout-out to Ms Bessie for her very attentive and courteous service during our family birthday dinner. Keep it up!
excellent service and food,Excellent service by Juvan and the entire wait staff. the high tea was satisfying and the selection of teas varied. Must do when in singapore.
