topic,review
Great Food,"I have been at this outlet many times and this time round, I selected the Lunar New Year special set, and it was great."
One of the best vegetarian restaurant in city,Serving unique fusion vegetarian food that whets your tastebud. No worries about starchy food because you will not feel n taste any starchy element.
Friends cny gathering,Love the food but initially they served the food too fast and were like catching a train. They heard us and later part served at a more reasonable pace
Good vegetarian food,We go to elements often as the food is good and different to the usual vegetarian choices. Also it is very reasonably priced.
elemen @ Millenia Walk,elemen ranks high as my favourite vegetarian restaurant. My kids especially loved the ice cream & brownie desert!
slow service of main course,"This was the 2nd visit, both time we experienced very slow serving of the main course. The food was good. I purposely park at the Milienia car park but at the casher did not offer the free car park ticket though I must admit it was my fault that I forgot to ask!"
Great experience,Went there to celebrate birthday. Asked for a candle on the tiramisu but got a nicely decorated plate with ice cream in addition to the candle. Pleasant surprise! Very friendly staff. Enjoyed the dinner. Thank you elemen’s staff at Millenia Walk!
The food was just ok.,"The serving was very slow. There were 4 of us. The last main course was serve one hour after we placed the order and we had to remind the staff a few times to check on our orders. There’s something very wrong inside the kitchen in the sequence of food preparation despite there were 4-5 staff in the kitchen. I’m addition, there were 4-5 staff attending to customers at the tables. Very disappointed!"
"Pretty Food, less than awesome service","First, we wasn't allowed in when we arrived 10mins earlier. At the reservation time, we found out we had to queue to get in, even with a reservation, which defeats the purpose of a reservation.

The food was pretty, very instagrammable! Kind of fusion western mix vegetarian.
Portions are small, so go for the 8 course set.

There was a 30minutes wait for dessert, even though everyone else who came in after us had theirs. It was set meal dessert, everyone was having about the same thing. Then another wait for them to process the bill. Seems like they are understaffed."
Standard dropped,Service standard dropped tremendously! Food standard also dropped by little bit! Only one given full utensil! Serving of food missed out one course!
Good First Experience,"We made a reservation, as we noted there was always a queue at this restarant and decided to try it out. We had the set meal, as we felt it was more value. The Mushroom Pasta & Fried Rice were really good. I loved the soup too. Overall, a great dining experience and the food was great. Atmosphere was not bad, albeit a bit noisy once the restaurant was full."
Elemen @ Suntec,Took us almost 2 hours to get our 8-course dinner. One set was serve almost half an hour later! There were only 3 serving staff.
Great food but poor service,"I really enjoyed the food over here as they are awesome! However, service is pretty bad as they are not organized. Long wait for the food and constant reminder is required."
My time spend at Elemen Restuarant,Reservation was very well done. Waited just a while and soon I was guided to my table by the waiter. Order my food and it came very fast.
Excellent vegan food,Delicious food made from vegetables and fruits that mimics meat taste. Food images on menu truly depicts actual food.
Slow in service!,"Service was VERY slow! This restaurant was recommend by a dear friend. Staff, 1 asst manager, was very IMPATIENCE. Definately WONT be BACK! We left as one of main dish n soup not ready and our clock shows 9pm."
Gathering at Elemen,"The food is good. Staff is very friendly. However we were only allowed to stay for 1 and half hours, even when the restaurant wasn't full. Wish they can be more accommodative towards this rule.
Also I have to pay $240 for booking, which is kinda odd. They have yet to refund me."
Best vegan but taste non vegan restaurant,Repeatedly visits. Great for non vegan that wants to eat healthy. Everyone I bring raves over the food.
Disappointed,"The food is good enought, 3/5. You get what you pay for.

But the disappointing part was the waiting time for the food (35mins), please note that we have inform the staff after 15mins, for 4 times. and what we got was ""they should be coming"".

The restaurant was busy and slow service with rushed interactions was expected for a restaurant at this level.
But the interaction with the manager was BIZAME.

The manager was extremely rude. It was clear they did not care to lose us as customers."
"Severely Understaffed, Staff unattentive","When i arrived at the restaurant, we were promptly escorted to our private room. After that, we were pretty much left alone, and what was worse is that the server/waiter simply dumped the dishes on the table and expected us to pick it up across the table! They did not explain to us what were the dishes, and left the room hurriedly without closing the door. I had to stand up from the other end of the table to close the door several times in order to have a proper conversation. This is repeated throughout the dinner service and for every dish that is served. Absolutely poor service by the staff, but the saving grace was the amazing and delicious food."
Reservation via Chope,I can't cancel the reservation via Chope and I've called many times to the restaurant from 3pm to 6:30pm nobody pick up the call
Reservation easy and fast,The app is very easy to use and reservation was done within a minute. Thanks for this simple and useful app.
Fusion vegetarian meal,Wanted to give a treat to a visiting overseas friend. Decided on elemen as it was something my friend hasn’t tried before in singapore.
On my list of blacklisted places to eat,"Was asked to order using QR code. After 1 hour 15 minutes, the first dish was served. Drinks were not served. It was just four pax (not big group). After waiting for 1 hr 30mins, then checked with us whether we placed order. Hello. We made reservations. And we placed order via QR code as instructed. Order showed ok. You should have checked with us much earlier if your system is not up-to-standard and not when it’s last order time.

Really angry and dissatisfied with service"
Poor service quality and food,We waited for too long for food to be served. 1. Food was cod. 2. Took too lon to serve 3. Food was ready but no one serve 4. Pizza was not well cooked.
Delicious Food but Slow Service,"Elemen is a popular vegetarian restaurant in Singapore. The food is generally natural and wholesome and does not embrace mock meat. Its menu offers excellent, creative selection vegetarian dishes.

I was invited for sunday lunch with my friend's family.
We ordered 8 course meal which is more economical than ala carte. Some of the dishes were:
- truffles bread stick with blue berry yogurt dip
- wild mushroom & white truffle pizza
- wild mushroom soup
- quino salad
- kale tofu & black truffle rice
- black truffle porcini pasta
- avacado roll

The food was elegantly plated & a feast to the eyes.
A few highlights
- the avacado roll is fantasic
- the kale tofu & black truffle rice is my favourite. The rice is served in a bambo tube was full of flavor.

There were a few downside
- the drink was served after appertise & drink
- the main course were served between 20 mins apart
- quino salad did not have enough dressing & we improvised with the berry yogurt dip
- we found the mushroom soup too thick to our liking & would fill you up immediately . This could be due to our personal preference too.

Overally we had enjoyed our food minus the slow service

It is impressive that the restaurant true to its core & serving wholesome meatless recipe.

I would definately be back!

Do note 5 course set meal is not served during weekend.

Regards
ML LEONG
Singapore"
Image Slide,"Ate at the same branch few times, not sure if there's change in management or the person in charge of the branch been replaced but utterly disappointed. Noticed a server almost knocked into a patron before me. The same server broke some utensils as he cleared table behind our table while we were at 2nd item. When he went on to clear another table few min later, dropped cutlery. A staff turned to him, the server responded 'Not my fault'. We were probably at 2nd last item, a staff literally shouted across the restaurant to his co-worker 'Hold it !'. Had tea, noticed that drinking cup wasn't washed properly with some stains. Lastly, kind of an embarrassment for my partner. Would like to know if elemen has opted for cashless payment these days cos the restaurant rejected when we opted to pay in cash. So if patrons have no credit card, how would he or she settle for his or her bill ?"
Bad taste,"Taste quality fell tremendously, service was very bad and they kept rushing food out with no time sensitivity. Have been going there for years and this is poorest quality my family and I have tasted.
Appetisers we’re ok but the main courses were bland with no flavour, pizza was dry, noodles were tasteless. Brownie texture was rough and hard. Tiramisu was dry. the waiters were playing a fool instead of focusing. They rushed courses and more than 1 course was on the table at once the worse was my girlfriend having 3 courses on the table. Waiters also forgot to serve apple cider and we had to ask."
Bad service and inflexible,"Service wasn't good. One of my guest doesn't eat egg and the kitchen wasn't flexible with that. In the end, we gace up and went off for another restaurant."
Food and services,"Great food, excellent service by Nicholas and his team. Very customer centric resulting great dining experience.👍👍👍"
A Hasty Dinner,"We were told to finish our dinner by 7pm as there are 2 seating. However, it was like only 6.40pm and the manager was like rushing us to finish our dinner although there are still 20 mins before 7pm. He looked unhappy with us and kept looking at our table as we were still chatting. Hence, my friend and I did not really enjoy our dinner at all."
Pleasant experience,Arrived early evening on Thursday. Restaurant was empty and we were the first to arrive. Service staff was highly considerate for my elderly mum and recommended suitable dishes for her. My mum enjoyed the food in this first visit without even noting it's vegetarian food. For me it was my second visit. I decided to take up the membership for future visits.
Poor Food,"The restaurant was empty but the quality was very poor. The soup was served cold, the desert was cold too and the drink came half way through the meal. Service was slow."
Awesome!!!,"I love to visit Elemen!! The foods is delicious, the customer service is polite and friendly!! I have joined the member and def will visit again!!!"
Impressed from 1st bite to the last,"The experience was likened to fine-dining without burning a hole in my pocket. The starters were already impressive, they raised every eye-brow, and inspired oohs and aahs from the ladies. Though they seemed to be short-handed, we were served faster than expected, and provided an introduction to each dish. That's fine-dining stuff. I bought their membership package that evening, and this is something I've never bothered to do. Check out all the attractive promotions on their website. It's really worth it."
One of the best vegetarian restaurants in Singapore,"My 3rd time here and I am amazed by the food presentation, quality and taste. Had the 8-course lunc leh set meal on a weekend. It wasn’t crowded, service was excellent and swift. The serving of food was really fast, so fast that my dining companion was rushing to finish her meal. But the full completion of the 8-course set meal took 1.5hrs, which explains the rushing. Extremely pleased with the quality of food, the presentation was so lovely and appetising as well. Money well spent. Definitely will come back again!"
Exceptional vegetarian allium free food! Fine dining at reasonable prices!,"I have been to this restaurant many times.I recently visited this place and having the 8 course set that gives you a starter, soup, main course, dessert, and drinks. Great deal for the price. I love the variety of mains available, and especially love the apple cider vinegar mid-meal as a palate cleanser. Never fails to impress anyone, even the most fussy meat eater friend, with their amazing food and service. Best vegetarian allium free food ever! Can’t recommend this place enough."
celebrating birthday,we only mentioned the above celebration in passing but the service staff (all of them) took to heart and served the dessert cake in the set meal beautifully decorated and with a lit candle. A small gesture but very heartwarming.
"Veggie food was very tasty and delicious and healthy . Busy , so expect customer service is bit delayed","Veggie food was very tasty and delicious and healthy . Busy , so expect customer service is bit delayed"
Poor service,"No matter how good the food was, the whole dining experience was brought down by the poor service. Waiting time was long despite empty tables in the restaurant, no one attended to the patronizers in the waiting queue hence no one understand what they were waiting for. We had to make our own assumption that we get attention only at the specific allocated dining time slot. Skeptical whether such arrangement will be sustainable in long run."
Rude service,"We arrived 11.30 & told we had inly1hr 30 mins for our meal. Two of us were served main course by 12.30 but my friend did not receive hers till 1pm! Desserts were not served & the captain told us ‘I give you till 1.20 to finish your meal. In short, gobble up your food in 20 mins. Such high-handedness & lacking finesse & graciousness."
Long waiting time for food to be served,The restaurant pretty shorthanded thus long waiting hours...we take away the food in the end. overall very frustrating experience as we have to keep approaching the waitress and chase for the food to be served.
disappointed,"I went for dinner with my friends and all of us had a very high expectation for our dinner gathering. However, the service was bad and our food was served at different time. We got our main course accordingly exactly after one of us finished the food. The kitchen seemed to prepare the food by batch."
Came through for me,"I hosted colleagues from Japan, Australia, as well as local colleagues who've been to Elemens before. It was an enjoyable lunch, although I would suggest some kind of mapping of the orders to a last name. Because everyone ordered, quite a bit of confusion ensued. Still, I think the staff handled it well."
Insanely terrible service. Fast-food restaurant Speed for 8 course menu.,"Super noisy restaurant - the staffs were sorting out a large tray of metal utensils on one dining table right smack in front of our table, making extremely annoying noises affecting our meal.

Speed is that of a fast food restaurant, my 8 courses were served almost all at once. I haven’t finished my soup and starter, yet the main course was brought over the the small table which can seat only 2 pax, leaving the table in a mess.

I have patronised this Elemen restaurant (several outlets) for many years, and I must say that their level of service has dropped to rock bottom. Inexperienced “manager” - young bespectacled chap in blazer; who doesn’t care about the customers’ dining experience and allowed staffs to annoy diners with the loud metal utensils packing and cleaning at the centre of the restaurant.

Insanely horrible dining experience.

Do not recommend anyone to come here for business meals, or special occasions."
