topic,review
Great first time experience at Koma,"The service there is superb, from time to time they will address your concern if the food or drink is suitable to your taste and active in helping you to take photos to keep as a form of memories. Will visit again to Koma on another special occasion ☺️"
Food coma in KOMA,"I've always love the food in Koma. So this year, I made reservation for my family to celebrate our 12th wedding anniversary. Indeed, they were not disappointed. Food was great as always and the friendly service from Gina and Chloe made our night even more wonderful. Thank you! We're definitely coming back."
KOMA never disappoints!,"The food, service and ambience never disappoints. Staff is friendly and very efficient. Another thing to note…the place is always spotless!"
worth a visit,"One of the best ambience I have come across in top restaurants of Singapore. What I like most was the accommodating nature of the management. Ours was 25th anniversary and the reservations were not available. We still made a request , which was generously considered. The food was tatsy ( cant have critique as this was first experience of Japanese restaurant) espeecially shrimp tempura and scallion fried rice. The dessert -bonsai tree was yummy, the Japanese chese cake was OK but not exceptional. Definitely a worth visit resto in Singapore."
CNY lunch,Pretty much the same excellent standard as usual. Bought my kids there as they have never been to the restaurant before. Really enjoy themselves with the food and the ambience of the place. 👍🏼😁
Had a great experience,Everything was good. The bartender Shah and Ram were friendly and attentive. All the other staff too
Birthday,Best place japanese eat. Had the best sashimi (sake) and the best cheesecake ever! will come again soon
Great experience.,"We enjoyed our time and celebration of my fiancé's birthday at Koma. We enjoyed all the food we ordered. Many thanks to mr. Manny for taking care of our needs and reccommending the best dishes that we truly enjoyed. Best service! We thank also other Filipino staff who served us as well, JR, Jim, Ken and Fenny. The ambience is so good and the interior fits well with the amazing food. Will definitely be back."
Lovely Experience,"It was our first time at Koma. Food was great, ambience was awesome and as we were early before the booked time, not only we were seated we were lucky at where we sat. Great photo opportunities"
10/10 a restaurant you need to try,"The restaurant, food, staff, drinks, atmosphere, just everything. It was something beyond. Thank you"
Lovely place for celebration,Came here for hubby's birthday It was the best setting and everything felt right Love it and want to be back for more next time
Great service & ambience!,The service is excellent except dessert option can be better:) Only disadvantage is that the tables are quite close to each other so there is no privacy in conversation.
"Amazing experience! The place is beautiful, Great atmosphere","Amazing experience! The place is beautiful, Great atmosphere, variety, and a fine value-tasting menu. Exciting delicious food with high-quality presentation, service, and inventiveness. I was so impressed with the staff (Chloe) was extremely friendly, courteous, helpful, and knowledgeable about the menu offering great recommendations. Great place to hang out, chill or go out on a date. I am definitely going back again."
Delicious food & Nice Environment,Thanks for the Team.Very Delicious 😋 food n Very Nice Environment .Definitely will go back visit again💙💛
Fantastic food and the best Ambience in Singapore!,The eggplant and Salmon were phenomenal! We keep coming back.. A memorable experience each time.. Friendly staff!
Amazing birthday lunch at Koma!,Leah our server was the most AMAZING lady - she accommodated my coeliac parents and made special adjustments to the menu for them per my requests. She made us feel so welcome and greeted us all by our first names during our meal. She was so friendly and attentive and helpful with our food and drinks and took the time and care to chat with us and ensure all the food was safe for my parents. She was by far the best server we have ever experienced when dining out in Singapore - she was professional and extremely helpful. Please can this feedback regarding Leah be passed to the manager of Koma as it should be recognised what a first class experience we had at Koma today because of the amazing food and drinks but it also was because Leah was incredible with us - she made our dining experience and celebrating my birthday - with 2 diners with severe allergy requirements feel like an easy request and so fantastic - thank you Leah - you super star!!
Memorable Experience,First time experience was great! Staff are friendly and service was superb. I would like to commend Remy and Mark for making our dining experience a memorable one! We will definitely be back soon!
Birthday celebration,I have been to koma couple of times and it has always been good to go back there .beautiful ambience good food great cocktails and very friendly and helpful staff .
Family Union dinner,Overall over good experience. Food and ambience was good. Yusheng was good but standard yusheng service was v bad. Fish was shoved down and waitress ask us self service.
Birthday Celebration,"Good service but very little choices of food. However, food recommendations by staff was very much helpful thus we enjoyed our meal"
Birthday Celebration,"Definitely having a great time in Koma! The moment we went in their service and ambiance is so amazing, everything just provides warmth with their hospitality.
Not forgetting our server May she was amazing and definitely the most best service and hospitality goes to her! She never failed to put on a smile and being extremely patient to us while explaining the menu! Indeed my most pleasant visit and the food is really really really amazing worth every cents! Thank you every staff in Koma for leaving us such a special experience! ❤️"
Delightful anniversary celebration,"Our dining experience at KOMA has been pleasant - a great tone has been set right from the welcoming.

Service was good as well as the food - I especially appreciated that there were many vegetarian options available and that the staff knew their dishes well and were happy to provide further information.

My partner ordered the 6-course Omakase and enjoyed the yellow tail in particular; only the Ootoro was not to his satisfaction as it did not taste like anything which was disappointing.

As we were celebrating our anniversary, the team offered a little treat that was delicious.

Overall, we enjoyed our dinner experience and would recommend paying KOMA a visit."
Fantastic food and beautiful restaurant,"Walled past this place in the mall and we're amazed at how beautiful it looked even from the outside! So we decided to stop and see if they took walk ins and lucky us they did!

Incredible food absolutely stunning! The servers and staff are all incredibly too! Could not fault it at all!

We got to sit at the sushi bar and watching the chefs was also incredibly entertaining and interesting!

We also got a special bonus desert as we mentioned to our server that we were on our Honeymoon!

Absolutely amazing will be back!"
Amazing Dinner with My Loving Family❤️,"We had a great time in Koma! From the hostesses, the service staffs, not to mention the amazing food and ambiance, everything just provides warmth with their hospitality. Lea was amazing in what she does, always willing to extend a hand to assist us. Marvin was attentive as well and takes great photos. Everyone was just smiling and made our dinner experience special. Kudos to the team!❤️"
First time in Koma,Food are awesome and the environment is best for couples and friends gathering. Their services are the best as i ever seen.
Enjoyed the food very much. Fantastic service and great ambience.,Set meal is value for money. The choices are very wide and each has its own special way of cooking. Presentation of the food is very interesting. The food is also delicious. Definitely will come back for more.
Theatrical venue with exquisite tasting food,"Among the most visually stunning venues for dining here in Singapore. After a tunnel through a series of Torii gates, we were greeted with a cavernous dining hall, the edges were raised so the whole place looks n feels like an arena. A Japanese bridge spans a pool of water that acts as a mirror to reflect the fan like installations in the ceiling. Beautiful lanterns hung on both sides of the bridge and guests are all drawn to the centrepiece which is a rather tacky replica of a giant bronze bell. That aside, the rest of the architecture and deco are first rate. From the folded crane chopsticks holder to the lacquer ware in which the delectable treats were served. This place is first rate in service, quality and taste of food and the ambience is unmatched, it’s as if u were transported into a fantastical theatre set in Japan…"
Happy 80th Birthday!,Perfect surprise! She was impressed! Thank you for partnering me in giving my Godmother a fantastic birthday lunch. Love the updated menu with increased options. Less rice please
