topic,review
Relaxed spot for a cold beer on a hot day,We were walking around all day and needed somewhere relaxed to have a drink. Shankri served us and helped to navigate the happy hour menu. Will recommend to my parents who are visiting later in the week :)
25 degrees burger,Definitely the best burger in Singapore!!! Good ambiance and great service with Shankri! Must try!💯
Best Gourmet Burger in town 👍,We have been here few times and we love their burgers and sides... promotion was also affordable. Thanks to Gina and Shankri for her exceptional service. Happy new year 🍊🍊
25 degrees,Thank you for the friendly and helpful service.Food was good and staff was helpful.highly recommend going for the one for one as it it value for money
Highly recommend!,"Food is excellent, as is the service! Clean and friendly with a great atmosphere. Shankri and all the staff are a delight!"
Great Burgers,"Burgers are great, especially number 1 and number 2. Great service from Shankri, Gina, Dinesh and Arif!"
Definitely recommend,"Chicken burger was fab. Onion rings were good too, my partner got a lunch menu deal, beef burger with chips and a coke. Food came rapid. Reasonable price too."
The Place For Delicious Burgers and Fries,"We were staying the in the hotel above this restaurant and the staff recommended it for a good meal. We ended up eating here twice. We ordered the Full Caesar Salad, the 25 Degree Salad, Hueber One Burger, French Fries and a Milk Shake. The salads were fresh and lettuce crispy with just the right amount of dressing. The burger cooked to perfection and delicious. The fries hot and crispy, and not over salted. The milkshake over the top decadence. The place to go if you want a delicious burger."
Great Burgers + Good service,The burgers especially the patty with jalapeños are really tasty Service from Shankri was great! Will come again
For Good Burgers in Town,"We always enjoy the burgers, onion rings, hotdogs. Food is delicious, you can also craft your own burger! Service is good and prices are reasonable too."
Delicious food and good service!,We had a very pleasant first experience here that won’t be our last! The food was delicious and the sides (curly fries and onion rings) in particular really wowed - huge portions and so tasty! The service from all the staff was great and they very kindly allowed me to switch my burger sauce for another. Special mention goes to Shankri who gave us a heads up to wait a few minutes until after Happy Hour (7pm) before ordering to make sure we would have no problems using our Kris+ voucher :)
"Good food, good service, good price!","Came here a few times and always enjoyed ourselves. Decided to leave a review as I really wanted to share the joy of dining here! Came today and have had a wonderful time as always and even more thanks to the service provided by Shankri, Dinesh and Ragini.

Highly recommended!"
Great burgers great service!,Tasty burger with nicely cooked patty. Sides are pretty good too! Kudos to Shankri for her prompt and friendly service 👍🏻
Lunch review,"I love burgers. Love that 25Degrees offers a set lunch option which is a little smaller than a full-size burger. Works for my lunch eating habits! Service staff are always friendly and helpful. I forgot to hit the confirmation of my order on the web app and the staff came around to check if I had problems. That is attention and thoughtfulness! Thumbs up to Ragini, cheerful attitude!"
Awesome burger,The burgers and bun was amazing! Costumer service by Shanku was great! She was extremely friendly and attended to all our needs. Great ambience and solid food
Shankri is a delight,"We were with out 2 young children. Each of us in the depths of late day jet lag from a 15 hour time zone difference. We had difficulty using the App and Shankri was patient and kind. Our kids were past tired and definitely were not acting their proper best. She was patient, kind and compassionate. Great flavor and portions of food."
Great brugers,My partner and I are from NYC visiting Singapore. We loved the food here. The impossible burger was so good we came back for another try before leaving Singapore. The staff was also very friendly!
♥️♥️♥️,Good food and good service! Very satisfying and big servings. Shout out to shankhi and arif for their wonderful service ♥️
Excellent Service!,"Great burgers and good service from Shankri, Arif, Ragni and Gina! Waiters were very on the ball and very friendly. Vibe was very chill and welcoming!"
Food and services,"Great burgers and service from Shankri, Arif, Gina and Ragni. Will definitely recommend to friends be back for more! 😊"
Best burgaaa,"Yummy food! Literally one of my fav burgers in town! With Additional great service from Dinesh, Arif & Ragini! Will be back!! 🥰🥰🥰🥰🍔🍔🍔"
Great place for hangout!,"It's a great place to hangout and chillax. food is nice! and service staff, Shankri have been really friendly!"
Dinner,"A very brave service crew , appreciate! Enjoyed the dinner with great service . Keep up the good work Shankri!"
Good and friendly service,Shankri is friendly and alert on our table. She is attentive to our request. Thank you for serving us.
Late night food place,Great place to hangout and eat on a late night. Plus commendable service from Gina and Arif. Thank you so much!
Dinner w friends,"Great server who was kind and very attentive. Food was good ambiance is great. The restaurant is good, the vibe is great We ordered burgers and onion rings and"
