topic,review
Great and fresh,"We had a great dinner over at the restaurant today. Everything we ordered were chef kiss. The hamachi, chirachi don, black cod and maguro pizza were so good. The sashimi was thick and fresh as well! Definitely a great find at MBS! Food served timely and the staff were all efficient and attentive. Shoutout to the restaurant manager who served us. He constantly checked in on us, definitely a great dining experience."
Nice food and friendly staff,"Randomly visit a restaurant at MBS. Surprisely, the food here is great and the staffs is friendly . Especially staff name ivy, she intros us nice foods and nice sake. If you are first time visit here, she is the right person you can seek for assistance."
sen of Japan,"As fantastic as all review of the restaurant. Good environment, Good food, good service. Value for the price paid. The Blackcod fish is silky and taste really good."
Awesome service and food,"Dolly, Color and Redi made us feel welcome and their service was awesome despite their busy schedule. Food was great! Would come back again."
damnnnnnn shiokkkkk,food is great! ivy has gone beyond her duty to check for more details regarding the food for us. loved it
Lunch,Food is excellent! Service is good too! I love the am ience here too. Love the Hamachi and Maguro Pizza.
We ordered Premium Bara Chirashi,"We ordered Premium Bara Chirashi Don, Oishii Maki & Hamachi Kama. Nice presentation and very tasty. staffs are friendly efficient"
Good food,"We ate the sashimi platter and red snapper. Well seasoned , taste fresh. Will come back again next time"
good seafood,"sashimi was fresh and served fast, would come back again :) highly recommended, good atmosphere and scenery"
Highly Recommended!,nice food good ambience great place for dinner; Nice view from MBS. Reservation required so do make the reservation in advance.
Review,"Fresh Ingredients, friendly staff, a good place to gather together with friends and family. Good recommendation."
Sen of Japan,"Wonderful service and great quality food!
Menu offers a great variety.
Sashimi is very fresh.
Free flow tea is very authentic."
Highly recommend,Fantastic excellent services!! Super fresh oysters and sashimi! The chawanmusi is smooth n fabulous! Worth for wait and they serve very fast. Highly recommend for next visits!
Excellent service provided by Ms. Lvy at Sen of Japan MBS,"Went dining with my family for lunch at Sen of Japan at Marina Bay Sands. Ms. Lvy was the staff serving us throughout our meal, she provided us with her excellent service and foods suggestion was all super delicious. We all have a wonderful meal. Thank you so much for making our day. Thumbs up. Highly recommended."
Dinner,"Attended by Ms Ivy, v v attentive, efficient, customer service oriented. Please extend our appreciation to her & May your organisation recognise her hard work. Thank you"
Highly recommend!!!👍🏻👍🏻👍🏻👏🏻👏🏻👏🏻🤩🤩🤩,"Definitely recommended to my friends and family, excellent food, nice ambient n friendly staff. Cheers"
