topic,review
Excellent place for a hotpot with cosy ambience!,The restaurant has a very cosy ambience with high quality food and excellent service from the staff. Highly recommended!
Very luxurious!,"Food here is excellent. However, it would be great if the sauces are complimentary though. Would come back"
CNY DINNER AT COUCOU,Came here for CNY dinner with family. Great food. Spaces are almost like private dining. Service was very good as well.
Coucou,Good food and nice environment. Service can be more improve. Design of menu is good. Colourful and attracting.
Food review,"Good place, good seivices. Yummy soup, and taiwan ru rou rice very delicious. Rock melon damn sweet."
Coucou,"Environment nice , food presentation nice too, the speciality is big cup of bubble tea. Nice gathering location for family."
Nice Ambient,Nice ambient here and their special is hotpot match with bubble tea. Food presentation is really nice but tomato soup base slightly salty
Best hotpot in town,"Though a little on the pricer side, Coucou restaurant is the best place to visit if you are craving some hotpot."
Coucou,"Good place nice , visited here during dinner , nice atmosphere shishhdjwjdjskdndjfjfkkfjfjfkfkfjfjfjfj"
Hungry and cold,The food are good.. strongly recommended on a rainy day.. enjoyable moment with friends and it is definitely worth it
Good food,"The food is very good, strongly recommended after mj there is alot of people but we make reservation hence service was fast"
Mahjong dinner,Strongly recommended after mahjong. Good soup base. No queue can come during weekend. Affordable and alot of variety
Feedback,My 1st time here. Love the atmosphere . Food and service are excellent. Definitely will visit again.
Cny celebration,Great ambience and great selection of food. Came here with good friends to celebrate Cny. Would recommend this place to anyone.
First timer,"Great food and soup selection, nice place and ambience to gather with friends! Would like to try their bubble tea!"
Awesome hotpot place!,"Had an amazing time at Coucou Suntec! The staff was incredibly friendly and the selection of ingredients was fresh and flavorful. The broth was rich and savory, and the dipping sauces added an extra layer of deliciousness to each bite. The atmosphere was cozy and comfortable, perfect for a night out with friends or family. Highly recommend this spot for anyone in the mood for a hot and satisfying meal. Can't wait to go back!"
CNY Gathering Meal,"Great meal, great setting and very friendly staffs. Thanks for the complimentary drink of 'Coconut Milk Series'."
Nice food,Good environmental with varies of food. Price is expensive but overall the ambiences and food are all nice
Nice ambient and good food,"My fourth time here. As usual, nice ambient with music background. Good food. Warm hospitality by the staffs."
Bad service and soup,"Soup is tasteless. Service is bad, for their price , there are many options out there… Fruits selection limited. 90 mins limit on dining strictly!"
Nice atmosphere,Delicious soup base and friendly staff. The prawn paste and beef are worth to try. 90min dinning time is a bit rush.
Coconut milk series,Environment ambient and services are tip top! Will come again definitely. Food and everything are fantastic
Very nice and worth it,I like the food and environment here . Food all are worth and the services is good ! Highly recommended
Good,"Ambience and the food was good recommend the Taiwanese mala soup base,coconut chicken was so so.overall a good meal."
Very good soup base,Love the coconut soup & Taiwanese mala soup! Food also very fresh. Bubble tea especially Pu Er is nice too.
Excellent!,Lovely ambience with great food! Highly recommended and definitely come back here again. Suitable for everyone!
First time at Coucou!,Wifey brought me to the Suntec outlet and I was very impressed with the ambience and food presentation. Thumbs up and I’ll definitely be back again! 😊👍🏽
Cou Cou Hotpot,I like cou cou hotpot very much especially Ma la hotpot. Very suitable for us… beef also very fresh and delicious. I will come again!!
Review of Cou Cou hotpot,"Very good environment and light. The Chinese New Year Set has three diffident options, for seafood lover and meat eater, lovely"
Coucou suntec,"My second visit to the Suntec outlet! They were serving the CNY menu Food, quality and service was superb. Happy customer."
Food is good!,Visited 2 outlets of Coucou in Singapore. Suntec outlet experience was wonderful definitely much better than the other. Food was awesome. Will definitely come back again.
Repeat customer,Service and Food here is always great whenever we visit! Will recommend visiting this outlet here at Suntec.
Neutral,Come visit during CNY. Their menu is different from normal menu. They have set and alacarte. We ordered ala carts. Not a lot of choices but taste good.
Nice place nice decor,Haven’t had the food so far but the decor and the food around me smells really good. Looking forward to eating!
"Fresh and tasty, friendly service","Friendly service, crowded but spacious. Limited to set meals during Chinese New Year which is a little pricey, but no choice I guess. Happy eating during new year is also a good idea."
Lovely meal,First time here and enjoy the food. Will come back again. Nice bubble tea. Nice soup. Enjoy the meal very much
CNY 2023,Lovely CNY Menu. Dinner here regularly. Love the spicy tofu. Enjoy the ambiance. Will be back again soon!
CNY Dinner,Special menu for Chinese new year. A bit pricey but it’s ok as it is during Chinese new year period.
"Good food, good taste",One of the go to places for hotpot. Their Taiwanese style hotpot broth comes with toufu and it is really good
